id,order,text_en,text_ace,text_af,text_am,text_as,text_az,text_bg,text_bn,text_bs,text_ca,text_ceb,text_ckb,text_cs,text_da,text_de,text_el,text_et,text_fa,text_fi,text_fil,text_fr,text_ga,text_gu,text_ha,text_he,text_hi,text_hr,text_ht,text_hu,text_hy,text_id,text_ig,text_is,text_it,text_ja,text_jv,text_ka,text_kk,text_km,text_kn,text_ko,text_ku,text_ky,text_lb,text_lo,text_lt,text_lv,text_mad,text_mg,text_min,text_mk,text_ml,text_mn,text_mr,text_ms,text_mt,text_my,text_ne,text_nl,text_no,text_ny,text_or,text_pa,text_pl,text_ps,text_pt,text_ro,text_rw,text_si,text_sk,text_sl,text_so,text_sq,text_sr,text_st,text_sv,text_sw,text_ta,text_te,text_th,text_ti,text_tl,text_tr,text_uk,text_ur,text_uz,text_vi,text_yo,text_yue,text_zh,text_zu
ref_0,0,"As this day closes, consider one moment where Allah's mercy was evident.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_1,1,Bring before Allah whatever weighed on your heart today.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_2,2,Name one blessing from this day and express gratitude to Allah.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_3,3,Rest in the knowledge that you are held in Allah's infinite care.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_4,4,Reflect on where you felt called to show compassion and kindness today.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_5,5,Let go of what you cannot control and trust in Allah's perfect plan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_6,6,"As the day draws to a close, receive peace in remembrance of Allah.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_7,7,"Consider how you honored your prayers today, and thank Allah for each one.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_8,8,Reflect on a moment where patience (Sabr) guided your actions today.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_9,9,Ask forgiveness for any shortcoming today — Allah's mercy is boundless.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_10,10,Name one person you showed kindness to today and make dua for them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_11,11,Sit with gratitude: what did Allah provide today that you did not ask for?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_12,12,Reflect on a verse from the Quran that speaks to where you are right now.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_13,13,Consider how you used your time today — and offer tomorrow to Allah.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_14,14,"Rest knowing that whatever hardship came today, Allah was with you through it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_15,15,Think of one way you served your family or community today for Allah's sake.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_16,16,"As night falls, make Tawbah — Allah loves those who turn back to Him.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_17,17,"Reflect on the beauty Allah placed in your day, however small.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_18,18,Consider what you learned today and how it draws you closer to Allah.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_19,19,Let the day's worries rest with Allah — He carries what you cannot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_20,20,"Think of a moment today where you could have chosen better, and learn from it gently.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_21,21,Make dua for those who are struggling — your prayer is a gift to them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_22,22,Recall a blessing you often overlook and take a moment to thank Allah for it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_23,23,"Reflect on your intentions today — were they for Allah? Tomorrow, begin again.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_24,24,"As the night quiets, listen for Allah's nearness in the stillness.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_25,25,Consider where you found strength today — that strength is from Allah.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_26,26,"Name one thing you will do tomorrow, for Allah's sake, that you did not do today.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref_27,27,"As you prepare for rest, entrust your soul to Allah — He is the best of guardians.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
