id,order,text_en,ref_en,text_ace,ref_ace,text_af,ref_af,text_am,ref_am,text_as,ref_as,text_az,ref_az,text_bg,ref_bg,text_bn,ref_bn,text_bs,ref_bs,text_ca,ref_ca,text_ceb,ref_ceb,text_ckb,ref_ckb,text_cs,ref_cs,text_da,ref_da,text_de,ref_de,text_el,ref_el,text_et,ref_et,text_fa,ref_fa,text_fi,ref_fi,text_fil,ref_fil,text_fr,ref_fr,text_ga,ref_ga,text_gu,ref_gu,text_ha,ref_ha,text_he,ref_he,text_hi,ref_hi,text_hr,ref_hr,text_ht,ref_ht,text_hu,ref_hu,text_hy,ref_hy,text_id,ref_id,text_ig,ref_ig,text_is,ref_is,text_it,ref_it,text_ja,ref_ja,text_jv,ref_jv,text_ka,ref_ka,text_kk,ref_kk,text_km,ref_km,text_kn,ref_kn,text_ko,ref_ko,text_ku,ref_ku,text_ky,ref_ky,text_lb,ref_lb,text_lo,ref_lo,text_lt,ref_lt,text_lv,ref_lv,text_mad,ref_mad,text_mg,ref_mg,text_min,ref_min,text_mk,ref_mk,text_ml,ref_ml,text_mn,ref_mn,text_mr,ref_mr,text_ms,ref_ms,text_mt,ref_mt,text_my,ref_my,text_ne,ref_ne,text_nl,ref_nl,text_no,ref_no,text_ny,ref_ny,text_or,ref_or,text_pa,ref_pa,text_pl,ref_pl,text_ps,ref_ps,text_pt,ref_pt,text_ro,ref_ro,text_rw,ref_rw,text_si,ref_si,text_sk,ref_sk,text_sl,ref_sl,text_so,ref_so,text_sq,ref_sq,text_sr,ref_sr,text_st,ref_st,text_sv,ref_sv,text_sw,ref_sw,text_ta,ref_ta,text_te,ref_te,text_th,ref_th,text_ti,ref_ti,text_tl,ref_tl,text_tr,ref_tr,text_uk,ref_uk,text_ur,ref_ur,text_uz,ref_uz,text_vi,ref_vi,text_yo,ref_yo,text_yue,ref_yue,text_zh,ref_zh,text_zu,ref_zu
scr_0,0,"Indeed, the righteous will be among gardens and rivers, in a seat of honor near a Mighty King.",Quran 54:54-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_1,1,"And We have not sent you, [O Muhammad], except as a mercy to the worlds.",Quran 21:107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_2,2,Is not Allah sufficient for His servant? Yet they frighten you with others besides Him.,Quran 39:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_3,3,"Perhaps you hate something and it is good for you; and perhaps you love something and it is bad for you. And Allah knows, while you know not.",Quran 2:216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_4,4,"Indeed, Allah is with the patient ones.",Quran 2:153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_5,5,So remember Me; I will remember you. And be grateful to Me and do not deny Me.,Quran 2:152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_6,6,"Indeed, the most noble of you in the sight of Allah is the most righteous of you.",Quran 49:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_7,7,"And your Lord has decreed that you worship none but Him, and that you be dutiful to your parents.",Quran 17:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_8,8,"Verily, with hardship comes ease.",Quran 94:6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr_9,9,"And He is with you wherever you are. And Allah, of what you do, is Seeing.",Quran 57:4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
